1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2,1000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
3,2000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
4,3000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
5,4000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
6,5000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
7,6000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
8,7000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
9,8000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
10,9000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
11,10000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
12,11000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
13,12000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
14,13000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
15,14000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
16,15000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
17,16000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
18,17000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
19,18000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
20,19000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
21,20000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
22,21000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
23,22000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
24,23000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
25,24000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
26,25000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
27,26000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
28,27000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
29,28000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
30,29000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
31,30000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
32,31000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
33,32000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
34,33000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
35,34000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
36,35000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
