1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
2,1000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
3,2000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
4,3000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
5,4000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
6,5000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
7,6000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
8,7000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
9,8000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
10,9000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
11,10000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
12,11000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
13,12000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
14,13000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
15,14000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
16,15000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
17,16000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
18,17000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
19,18000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
20,19000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
21,20000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
22,21000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
23,22000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
24,23000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
25,24000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
26,25000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
